tt_label,session_number,speaker2,task,ipu2_start_time,ipu2_end_time,overlapped_transition
#,8,A,2,500.1618,500.7339,False
O,8,A,2,500.7339,503.7368,True
X1,8,A,3,514.292,519.4451,False
#,8,A,3,519.4451,519.9747,False
X2,8,A,3,519.9747,523.004,False
#,8,A,3,523.004,525.0284,False
X2,8,A,3,525.0284,537.0449,False
#,8,A,3,537.0449,537.487,False
X3,8,A,3,537.487,538.2069,False
#,8,A,3,538.2069,538.6773,False
S,8,A,3,538.6773,540.318,False
#,8,A,3,540.318,540.9373,False
X2,8,A,3,540.9373,550.1523,False
#,8,A,3,550.1523,550.7829,False
X2,8,A,3,550.7829,552.1385,False
#,8,A,3,552.1385,553.5185,False
X2,8,A,3,553.5185,561.9567,False
#,8,A,3,561.9567,562.8193,False
X2,8,A,3,562.8193,564.0,False
#,8,A,3,564.0,565.2133,False
X2,8,A,3,565.2133,572.8934,False
#,8,A,3,572.8934,577.4197,False
S,8,A,3,577.4197,581.5561,False
#,8,A,3,581.5561,581.7753,False
X3,8,A,3,581.7753,583.1281,False
#,8,A,3,583.1281,584.3362,False
S,8,A,3,584.3362,608.1706,False
#,8,A,3,608.1706,609.1152,False
O,8,A,3,609.1152,611.8299,True
#,8,A,3,611.8299,617.7617,False
S,8,A,3,617.7617,621.5826,False
#,8,A,3,621.5826,622.5928,False
S,8,A,3,622.5928,627.2925,False
#,8,A,3,627.2925,628.4859,False
X2,8,A,3,628.4859,639.717,False
#,8,A,3,639.717,639.8357,False
X3,8,A,3,639.8357,645.7169,False
#,8,A,3,645.7169,646.9696,False
S,8,A,3,646.9696,651.5629,False
#,8,A,3,651.5629,655.0336,False
X2,8,A,3,655.0336,657.5668,False
#,8,A,3,657.5668,670.0078,False
S,8,A,3,670.0078,670.8357,False
#,8,A,3,670.8357,674.9956,False
O,8,A,3,674.9956,682.0991,True
#,8,A,3,682.0991,703.5148,False
BC,8,A,3,703.5148,703.8617,False
#,8,A,3,703.8617,712.2916,False
S,8,A,3,712.2916,721.5289,False
#,8,A,3,721.5289,724.714,False
S,8,A,3,724.714,726.4054,False
#,8,A,3,726.4054,727.1738,False
X3,8,A,3,727.1738,727.4017,False
#,8,A,3,727.4017,729.2055,False
S,8,A,3,729.2055,730.1239,False
#,8,A,3,730.1239,730.5895,False
S,8,A,3,730.5895,731.5585,False
#,8,A,3,731.5585,743.9799,False
S,8,A,3,743.9799,746.786,False
#,8,A,3,746.786,751.8145,False
S,8,A,3,751.8145,758.4487,False
#,8,A,3,758.4487,776.1534,False
S,8,A,3,776.1534,777.0791,False
#,8,A,3,777.0791,777.6017,False
X3,8,A,3,777.6017,781.6933,False
#,8,A,3,781.6933,784.2785,False
O,8,A,3,784.2785,791.0873,True
#,8,A,3,791.0873,797.192,False
A,8,A,3,797.192,808.8252,False
#,8,A,3,808.8252,810.342,False
X2,8,A,3,810.342,817.1686,False
#,8,A,3,817.1686,820.9013,False
S,8,A,3,820.9013,825.2201,False
#,8,A,3,825.2201,830.1474,False
S,8,A,3,830.1474,832.4507,False
#,8,A,3,832.4507,833.1781,False
O,8,A,3,833.1781,833.676,True
#,8,A,3,833.676,835.3064,False
O,8,A,3,835.3064,837.6704,True
#,8,A,3,837.6704,838.1274,False
O,8,A,3,838.1274,839.9929,True
#,8,A,3,839.9929,842.8934,False
A,8,A,3,842.8934,844.1029,False
#,8,A,3,844.1029,855.8342,False
S,8,A,3,855.8342,857.1011,False
#,8,A,3,857.1011,857.2414,False
X3,8,A,3,857.2414,860.2804,False
#,8,A,3,860.2804,860.7826,False
S,8,A,3,860.7826,861.2337,False
O,8,A,4,874.6296,878.6424,True
#,8,A,4,878.6424,883.1754,False
S,8,A,4,883.1754,883.9808,False
#,8,A,4,883.9808,884.8338,False
S,8,A,4,884.8338,886.0956,False
#,8,A,4,886.0956,892.5093,False
S,8,A,4,892.5093,894.1012,False
#,8,A,4,894.1012,898.4349,False
S,8,A,4,898.4349,899.6854,False
#,8,A,4,899.6854,905.9126,False
O,8,A,4,905.9126,910.3404,True
#,8,A,4,910.3404,912.5143,False
O,8,A,4,912.5143,912.8176,True
#,8,A,4,912.8176,916.5236,False
S,8,A,4,916.5236,917.5507,False
#,8,A,4,917.5507,927.5495,False
S,8,A,4,927.5495,928.37,False
#,8,A,4,928.37,928.931,False
O,8,A,4,928.931,929.3027,True
#,8,A,4,929.3027,934.7966,False
BC,8,A,4,934.7966,935.3971,False
#,8,A,4,935.3971,938.3905,False
BC,8,A,4,938.3905,938.9516,False
#,8,A,4,938.9516,944.0456,False
BC,8,A,4,944.0456,944.5872,False
#,8,A,4,944.5872,946.6438,False
S,8,A,4,946.6438,947.2083,False
#,8,A,4,947.2083,947.6403,False
X3,8,A,4,947.6403,949.5268,False
#,8,A,4,949.5268,950.8159,False
O,8,A,4,950.8159,951.3489,True
#,8,A,4,951.3489,951.9545,False
PI,8,A,4,951.9545,953.0231,False
#,8,A,4,953.0231,954.5749,False
S,8,A,4,954.5749,955.1429,False
#,8,A,4,955.1429,958.9808,False
S,8,A,4,958.9808,960.2907,False
#,8,A,4,960.2907,960.5058,False
O,8,A,4,960.5058,961.1735,True
#,8,A,4,961.1735,962.8926,False
O,8,A,4,962.8926,965.7898,True
#,8,A,4,965.7898,966.1983,False
X3,8,A,4,966.1983,966.9203,False
#,8,A,4,966.9203,973.1183,False
BC,8,A,4,973.1183,973.552,False
#,8,A,4,973.552,979.0404,False
S,8,A,4,979.0404,982.65,False
#,8,A,4,982.65,985.2804,False
S,8,A,4,985.2804,990.8358,False
#,8,A,4,990.8358,992.7059,False
O,8,A,4,992.7059,994.5943,True
#,8,A,4,994.5943,997.3769,False
O,8,A,4,997.3769,998.4133,True
#,8,A,4,998.4133,999.0078,False
S,8,A,4,999.0078,1006.2139,False
#,8,A,4,1006.2139,1013.7423,False
I,8,A,4,1013.7423,1015.6241,True
#,8,A,4,1015.6241,1019.8938,False
S,8,A,4,1019.8938,1021.0983,False
#,8,A,4,1021.0983,1040.556,False
S,8,A,4,1040.556,1042.055,False
#,8,A,4,1042.055,1043.8453,False
BC,8,A,4,1043.8453,1044.448,False
#,8,A,4,1044.448,1049.1034,False
S,8,A,4,1049.1034,1052.1276,False
#,8,A,4,1052.1276,1057.4231,False
BC,8,A,4,1057.4231,1057.7699,False
#,8,A,4,1057.7699,1062.269,False
S,8,A,4,1062.269,1065.4583,False
#,8,A,4,1065.4583,1067.8753,False
BC,8,A,4,1067.8753,1068.4486,False
#,8,A,4,1068.4486,1071.4973,False
BI,8,A,4,1071.4973,1071.8202,True
#,8,A,4,1071.8202,1071.8875,False
I,8,A,4,1071.8875,1075.1703,True
#,8,A,4,1075.1703,1079.282,False
S,8,A,4,1079.282,1081.3402,False
#,8,A,4,1081.3402,1082.2576,False
S,8,A,4,1082.2576,1085.6066,False
#,8,A,4,1085.6066,1090.3661,False
BC_O,8,A,4,1090.3661,1090.7633,False
#,8,A,4,1090.7633,1093.3861,False
BC,8,A,4,1093.3861,1093.7492,False
#,8,A,4,1093.7492,1094.6756,False
PI,8,A,4,1094.6756,1096.9949,False
#,8,A,4,1096.9949,1100.6128,False
S,8,A,4,1100.6128,1103.4273,False
#,8,A,4,1103.4273,1110.1947,False
O,8,A,4,1110.1947,1112.7671,True
#,8,A,4,1112.7671,1114.663,False
S,8,A,4,1114.663,1115.9747,False
#,8,A,4,1115.9747,1117.0928,False
S,8,A,4,1117.0928,1121.2313,False
#,8,A,4,1121.2313,1129.7036,False
S,8,A,4,1129.7036,1131.5404,False
#,8,A,4,1131.5404,1134.0957,False
S,8,A,4,1134.0957,1147.2639,False
X1,8,A,5,1159.8715,1162.5604,False
#,8,A,5,1162.5604,1162.7314,False
O,8,A,5,1162.7314,1169.4306,True
#,8,A,5,1169.4306,1170.2717,False
I,8,A,5,1170.2717,1176.7372,True
#,8,A,5,1176.7372,1177.3564,False
X2,8,A,5,1177.3564,1178.26,False
#,8,A,5,1178.26,1178.5894,False
X3,8,A,5,1178.5894,1179.7703,False
#,8,A,5,1179.7703,1180.3864,False
O,8,A,5,1180.3864,1180.8208,True
#,8,A,5,1180.8208,1180.8949,False
O,8,A,5,1180.8949,1187.7867,True
#,8,A,5,1187.7867,1188.6592,False
BI,8,A,5,1188.6592,1188.9275,True
#,8,A,5,1188.9275,1188.9924,False
A,8,A,5,1188.9924,1189.8897,False
#,8,A,5,1189.8897,1190.6625,False
S,8,A,5,1190.6625,1216.5702,False
#,8,A,5,1216.5702,1222.3777,False
S,8,A,5,1222.3777,1230.5415,False
#,8,A,5,1230.5415,1231.1784,False
S,8,A,5,1231.1784,1245.5968,False
#,8,A,5,1245.5968,1249.7998,False
PI,8,A,5,1249.7998,1252.6293,False
#,8,A,5,1252.6293,1253.2061,False
X3,8,A,5,1253.2061,1258.122,False
#,8,A,5,1258.122,1262.9496,False
S,8,A,5,1262.9496,1269.5215,False
#,8,A,5,1269.5215,1271.2011,False
S,8,A,5,1271.2011,1271.4991,False
#,8,A,5,1271.4991,1273.7623,False
PI,8,A,5,1273.7623,1284.4953,False
#,8,A,5,1284.4953,1321.031,False
S,8,A,5,1321.031,1322.0116,False
#,8,A,5,1322.0116,1322.4793,False
BI,8,A,5,1322.4793,1322.6055,True
#,8,A,5,1322.6055,1322.7416,False
I,8,A,5,1322.7416,1325.21,True
#,8,A,5,1325.21,1330.8145,False
S,8,A,5,1330.8145,1331.6723,False
X1,8,A,6,1349.4031,1350.7038,False
#,8,A,6,1350.7038,1353.9664,False
O,8,A,6,1353.9664,1356.1313,True
#,8,A,6,1356.1313,1358.1283,False
O,8,A,6,1358.1283,1359.3889,True
#,8,A,6,1359.3889,1361.5419,False
S,8,A,6,1361.5419,1362.9086,False
#,8,A,6,1362.9086,1363.3518,False
O,8,A,6,1363.3518,1364.0587,True
#,8,A,6,1364.0587,1366.4376,False
S,8,A,6,1366.4376,1367.6693,False
#,8,A,6,1367.6693,1374.9532,False
A,8,A,6,1374.9532,1382.1077,False
#,8,A,6,1382.1077,1384.8039,False
S,8,A,6,1384.8039,1385.1247,False
#,8,A,6,1385.1247,1386.443,False
A,8,A,6,1386.443,1387.7391,False
#,8,A,6,1387.7391,1391.2683,False
S,8,A,6,1391.2683,1391.7943,False
#,8,A,6,1391.7943,1400.8959,False
O,8,A,6,1400.8959,1401.2396,True
#,8,A,6,1401.2396,1401.669,False
I,8,A,6,1401.669,1403.209,True
#,8,A,6,1403.209,1405.6838,False
S,8,A,6,1405.6838,1406.0958,False
#,8,A,6,1406.0958,1411.1264,False
BC,8,A,6,1411.1264,1411.4446,False
#,8,A,6,1411.4446,1412.6243,False
BC,8,A,6,1412.6243,1412.9715,False
#,8,A,6,1412.9715,1418.0584,False
S,8,A,6,1418.0584,1419.4749,False
#,8,A,6,1419.4749,1422.1875,False
A,8,A,6,1422.1875,1422.7345,False
#,8,A,6,1422.7345,1428.0578,False
BC,8,A,6,1428.0578,1428.5174,False
#,8,A,6,1428.5174,1430.4547,False
S,8,A,6,1430.4547,1435.0035,False
#,8,A,6,1435.0035,1435.783,False
O,8,A,6,1435.783,1436.209,True
#,8,A,6,1436.209,1438.5774,False
S,8,A,6,1438.5774,1439.2524,False
#,8,A,6,1439.2524,1441.256,False
BC,8,A,6,1441.256,1441.6224,False
#,8,A,6,1441.6224,1445.1997,False
BC,8,A,6,1445.1997,1445.6626,False
#,8,A,6,1445.6626,1449.6939,False
A,8,A,6,1449.6939,1450.2094,False
#,8,A,6,1450.2094,1450.3496,False
X3,8,A,6,1450.3496,1451.3184,False
#,8,A,6,1451.3184,1454.3517,False
PI,8,A,6,1454.3517,1455.5932,False
#,8,A,6,1455.5932,1481.5311,False
S,8,A,6,1481.5311,1483.2194,False
#,8,A,6,1483.2194,1483.6892,False
S,8,A,6,1483.6892,1485.6576,False
#,8,A,6,1485.6576,1486.8523,False
O,8,A,6,1486.8523,1487.2086,True
#,8,A,6,1487.2086,1492.8297,False
S,8,A,6,1492.8297,1495.9204,False
#,8,A,6,1495.9204,1496.4534,False
O,8,A,6,1496.4534,1501.0502,True
#,8,A,6,1501.0502,1501.8847,False
O,8,A,6,1501.8847,1502.0863,True
#,8,A,6,1502.0863,1502.3527,False
O,8,A,6,1502.3527,1503.1862,True
#,8,A,6,1503.1862,1503.2062,False
O,8,A,6,1503.2062,1503.7343,True
#,8,A,6,1503.7343,1503.9484,False
X3,8,A,6,1503.9484,1504.2237,False
#,8,A,6,1504.2237,1519.2809,False
PI,8,A,6,1519.2809,1522.2715,False
#,8,A,6,1522.2715,1524.1417,False
S,8,A,6,1524.1417,1524.9438,False
#,8,A,6,1524.9438,1527.8579,False
S,8,A,6,1527.8579,1528.2647,False
#,8,A,6,1528.2647,1537.4401,False
BC,8,A,6,1537.4401,1538.4133,False
#,8,A,6,1538.4133,1548.6542,False
S,8,A,6,1548.6542,1549.3239,False
#,8,A,6,1549.3239,1549.6365,False
X3,8,A,6,1549.6365,1550.3667,False
#,8,A,6,1550.3667,1555.47,False
BC,8,A,6,1555.47,1555.8066,False
#,8,A,6,1555.8066,1562.7458,False
S,8,A,6,1562.7458,1565.0633,False
#,8,A,6,1565.0633,1565.9173,False
BC,8,A,6,1565.9173,1566.3082,False
#,8,A,6,1566.3082,1577.1627,False
S,8,A,6,1577.1627,1582.1387,False
#,8,A,6,1582.1387,1583.0923,False
PI,8,A,6,1583.0923,1584.5719,False
#,8,A,6,1584.5719,1591.4121,False
O,8,A,6,1591.4121,1592.9964,True
#,8,A,6,1592.9964,1596.5326,False
S,8,A,6,1596.5326,1600.888,False
#,8,A,6,1600.888,1608.5708,False
BC,8,A,6,1608.5708,1609.7843,False
#,8,A,6,1609.7843,1613.2839,False
BC,8,A,6,1613.2839,1613.6995,False
#,8,A,6,1613.6995,1617.4362,False
PI,8,A,6,1617.4362,1619.3506,False
#,8,A,6,1619.3506,1621.702,False
S,8,A,6,1621.702,1623.0905,False
#,8,A,6,1623.0905,1623.4586,False
X3,8,A,6,1623.4586,1623.9152,False
#,8,A,6,1623.9152,1631.4793,False
S,8,A,6,1631.4793,1645.3505,False
X1,8,A,7,1660.802,1662.7937,False
#,8,A,7,1662.7937,1663.7607,False
S,8,A,7,1663.7607,1666.0543,False
#,8,A,7,1666.0543,1667.8107,False
S,8,A,7,1667.8107,1682.4321,False
#,8,A,7,1682.4321,1682.8094,False
X3,8,A,7,1682.8094,1683.1318,False
#,8,A,7,1683.1318,1683.2966,False
X2,8,A,7,1683.2966,1685.2662,False
#,8,A,7,1685.2662,1686.1469,False
X2,8,A,7,1686.1469,1689.3342,False
#,8,A,7,1689.3342,1689.9525,False
X2_O,8,A,7,1689.9525,1692.362,False
#,8,A,7,1692.362,1692.9194,False
X2,8,A,7,1692.9194,1701.5046,False
#,8,A,7,1701.5046,1703.1783,False
S,8,A,7,1703.1783,1704.9188,False
#,8,A,7,1704.9188,1706.1443,False
S,8,A,7,1706.1443,1710.631,False
#,8,A,7,1710.631,1713.7519,False
S,8,A,7,1713.7519,1718.5161,False
#,8,A,7,1718.5161,1721.2601,False
S,8,A,7,1721.2601,1726.2701,False
#,8,A,7,1726.2701,1726.8714,False
X2,8,A,7,1726.8714,1732.4647,False
#,8,A,7,1732.4647,1734.6783,False
A,8,A,7,1734.6783,1742.07,False
#,8,A,7,1742.07,1742.8801,False
X2,8,A,7,1742.8801,1748.2302,False
#,8,A,7,1748.2302,1748.297,False
X3,8,A,7,1748.297,1749.1263,False
#,8,A,7,1749.1263,1749.7963,False
X2,8,A,7,1749.7963,1752.2845,False
#,8,A,7,1752.2845,1753.7627,False
X2,8,A,7,1753.7627,1786.8123,False
#,8,A,7,1786.8123,1793.9614,False
A,8,A,7,1793.9614,1800.3269,False
#,8,A,7,1800.3269,1801.1419,False
X2,8,A,7,1801.1419,1803.9391,False
#,8,A,7,1803.9391,1806.2106,False
X3,8,A,7,1806.2106,1806.8629,False
#,8,A,7,1806.8629,1806.9962,False
X3,8,A,7,1806.9962,1809.4171,False
#,8,A,7,1809.4171,1810.6444,False
X2,8,A,7,1810.6444,1821.1174,False
#,8,A,7,1821.1174,1821.617,False
X3,8,A,7,1821.617,1821.8958,False
#,8,A,7,1821.8958,1822.3596,False
X2,8,A,7,1822.3596,1831.5633,False
#,8,A,7,1831.5633,1833.3588,False
X2,8,A,7,1833.3588,1835.5259,False
#,8,A,7,1835.5259,1846.0819,False
S,8,A,7,1846.0819,1848.6256,False
#,8,A,7,1848.6256,1856.2532,False
S,8,A,7,1856.2532,1857.3733,False
#,8,A,7,1857.3733,1859.2273,False
S,8,A,7,1859.2273,1859.7182,False
#,8,A,7,1859.7182,1861.1617,False
O,8,A,7,1861.1617,1861.4878,True
#,8,A,7,1861.4878,1862.2908,False
S,8,A,7,1862.2908,1864.3363,False
#,8,A,7,1864.3363,1867.4439,False
S,8,A,7,1867.4439,1868.9402,False
#,8,A,7,1868.9402,1876.4131,False
S,8,A,7,1876.4131,1878.7975,False
#,8,A,7,1878.7975,1905.2485,False
PI,8,A,7,1905.2485,1905.8062,False
#,8,A,7,1905.8062,1907.4734,False
S,8,A,7,1907.4734,1921.1966,False
#,8,A,7,1921.1966,1930.8947,False
S,8,A,7,1930.8947,1931.9747,False
#,8,A,7,1931.9747,1960.8328,False
S,8,A,7,1960.8328,1962.9244,False
#,8,A,7,1962.9244,1963.8075,False
X3,8,A,7,1963.8075,1964.3335,False
#,8,A,7,1964.3335,1972.4361,False
S,8,A,7,1972.4361,1975.7365,False
#,8,A,7,1975.7365,1981.1762,False
PI,8,A,7,1981.1762,1982.179,False
#,8,A,7,1982.179,1982.7786,False
S,8,A,7,1982.7786,1983.2856,False
#,8,A,7,1983.2856,1988.194,False
S,8,A,7,1988.194,1988.5516,False
#,8,A,7,1988.5516,1989.8265,False
X3,8,A,7,1989.8265,1991.9128,False
#,8,A,7,1991.9128,1992.6687,False
S,8,A,7,1992.6687,1993.0789,False
S,8,A,8,2021.4081,2023.2459,False
#,8,A,8,2023.2459,2029.7268,False
PI,8,A,8,2029.7268,2030.372,False
#,8,A,8,2030.372,2032.1757,False
S,8,A,8,2032.1757,2038.0988,False
#,8,A,8,2038.0988,2038.3132,False
O,8,A,8,2038.3132,2039.2715,True
#,8,A,8,2039.2715,2040.1684,False
S,8,A,8,2040.1684,2044.5841,False
#,8,A,8,2044.5841,2045.2277,False
X3,8,A,8,2045.2277,2046.9102,False
#,8,A,8,2046.9102,2056.6064,False
S,8,A,8,2056.6064,2057.735,False
#,8,A,8,2057.735,2060.6527,False
A,8,A,8,2060.6527,2060.9437,False
#,8,A,8,2060.9437,2069.1504,False
S,8,A,8,2069.1504,2069.6378,False
#,8,A,8,2069.6378,2078.9639,False
S,8,A,8,2078.9639,2080.5628,False
#,8,A,8,2080.5628,2095.3065,False
BC,8,A,8,2095.3065,2095.6151,False
#,8,A,8,2095.6151,2100.9594,False
S,8,A,8,2100.9594,2107.0561,False
#,8,A,8,2107.0561,2111.0689,False
S,8,A,8,2111.0689,2112.8853,False
#,8,A,8,2112.8853,2119.271,False
BC,8,A,8,2119.271,2119.818,False
#,8,A,8,2119.818,2131.2593,False
PI,8,A,8,2131.2593,2131.8537,False
#,8,A,8,2131.8537,2133.0809,False
S,8,A,8,2133.0809,2140.5521,False
#,8,A,8,2140.5521,2148.333,False
BC,8,A,8,2148.333,2148.8777,False
#,8,A,8,2148.8777,2160.0913,False
S,8,A,8,2160.0913,2162.0112,False
#,8,A,8,2162.0112,2162.1409,False
X3,8,A,8,2162.1409,2168.2535,False
#,8,A,8,2168.2535,2183.2138,False
O,8,A,8,2183.2138,2195.4797,True
#,8,A,8,2195.4797,2205.081,False
S,8,A,8,2205.081,2208.8301,False
#,8,A,8,2208.8301,2212.2397,False
BC,8,A,8,2212.2397,2212.6009,False
#,8,A,8,2212.6009,2214.3663,False
A,8,A,8,2214.3663,2216.1837,False
#,8,A,8,2216.1837,2221.4298,False
BC,8,A,8,2221.4298,2221.8054,False
#,8,A,8,2221.8054,2242.7383,False
S,8,A,8,2242.7383,2277.8042,False
#,8,A,8,2277.8042,2279.4885,False
S,8,A,8,2279.4885,2280.2951,False
#,8,A,8,2280.2951,2288.2512,False
A,8,A,8,2288.2512,2288.7793,False
#,8,A,8,2288.7793,2300.9734,False
BC,8,A,8,2300.9734,2301.3269,False
#,8,A,8,2301.3269,2306.5762,False
S,8,A,8,2306.5762,2313.117,False
#,8,A,8,2313.117,2318.6671,False
X2,8,A,8,2318.6671,2321.5196,False
#,8,A,8,2321.5196,2325.5638,False
S,8,A,8,2325.5638,2326.2284,False
#,8,A,8,2326.2284,2338.7308,False
S,8,A,8,2338.7308,2380.5121,False
#,8,A,8,2380.5121,2382.6576,False
S,8,A,8,2382.6576,2383.1869,False
X1,8,A,9,2392.8875,2398.4185,False
#,8,A,9,2398.4185,2400.2733,False
O,8,A,9,2400.2733,2408.7816,True
#,8,A,9,2408.7816,2409.7852,False
S,8,A,9,2409.7852,2418.6328,False
#,8,A,9,2418.6328,2418.8267,False
X3,8,A,9,2418.8267,2419.5852,False
#,8,A,9,2419.5852,2419.9503,False
X3,8,A,9,2419.9503,2420.3496,False
#,8,A,9,2420.3496,2421.5359,False
X2,8,A,9,2421.5359,2435.5117,False
#,8,A,9,2435.5117,2436.95,False
X2,8,A,9,2436.95,2446.9777,False
#,8,A,9,2446.9777,2447.3223,False
X2_O,8,A,9,2447.3223,2448.2792,False
#,8,A,9,2448.2792,2449.486,False
X2,8,A,9,2449.486,2450.0062,False
#,8,A,9,2450.0062,2452.8245,False
S,8,A,9,2452.8245,2456.8619,False
#,8,A,9,2456.8619,2457.1377,False
S,8,A,9,2457.1377,2461.0816,False
#,8,A,9,2461.0816,2461.6331,False
S,8,A,9,2461.6331,2481.4218,False
#,8,A,9,2481.4218,2483.2139,False
S,8,A,9,2483.2139,2511.8531,False
#,8,A,9,2511.8531,2513.7353,False
X2,8,A,9,2513.7353,2529.5473,False
#,8,A,9,2529.5473,2539.4607,False
S,8,A,9,2539.4607,2546.8631,False
#,8,A,9,2546.8631,2565.3291,False
S,8,A,9,2565.3291,2570.1523,False
#,8,A,9,2570.1523,2578.2829,False
S,8,A,9,2578.2829,2578.9207,False
#,8,A,9,2578.9207,2583.719,False
S,8,A,9,2583.719,2586.5916,False
#,8,A,9,2586.5916,2587.6216,False
PI,8,A,9,2587.6216,2596.0413,False
#,8,A,9,2596.0413,2596.1725,False
O,8,A,9,2596.1725,2597.3747,True
#,8,A,9,2597.3747,2602.3639,False
S,8,A,9,2602.3639,2603.118,False
#,8,A,9,2603.118,2615.2838,False
S,8,A,9,2615.2838,2633.4264,False
#,8,A,9,2633.4264,2639.7389,False
S,8,A,9,2639.7389,2643.4124,False
#,8,A,9,2643.4124,2643.9643,False
O,8,A,9,2643.9643,2649.2355,True
#,8,A,9,2649.2355,2649.8251,False
X3,8,A,9,2649.8251,2651.26,False
#,8,A,9,2651.26,2652.7988,False
O,8,A,9,2652.7988,2654.5909,True
#,8,A,9,2654.5909,2655.7182,False
A,8,A,9,2655.7182,2662.1616,False
#,8,A,9,2662.1616,2663.5631,False
S,8,A,9,2663.5631,2669.1584,False
#,8,A,9,2669.1584,2715.2131,False
S,8,A,9,2715.2131,2717.7431,False
#,8,A,9,2717.7431,2720.9121,False
S,8,A,9,2720.9121,2721.3521,False
X1,8,A,10,2728.7942,2731.9245,False
#,8,A,10,2731.9245,2733.6157,False
S,8,A,10,2733.6157,2734.0574,False
#,8,A,10,2734.0574,2737.4522,False
S,8,A,10,2737.4522,2740.1858,False
#,8,A,10,2740.1858,2744.1778,False
S,8,A,10,2744.1778,2746.9891,False
#,8,A,10,2746.9891,2748.026,False
S,8,A,10,2748.026,2749.2718,False
#,8,A,10,2749.2718,2760.6125,False
BC,8,A,10,2760.6125,2760.8931,False
#,8,A,10,2760.8931,2761.7032,False
BC,8,A,10,2761.7032,2762.0865,False
#,8,A,10,2762.0865,2775.3792,False
S,8,A,10,2775.3792,2780.0432,False
#,8,A,10,2780.0432,2780.9552,False
BC,8,A,10,2780.9552,2781.3152,False
#,8,A,10,2781.3152,2786.3695,False
S,8,A,10,2786.3695,2786.6456,False
#,8,A,10,2786.6456,2806.7952,False
S,8,A,10,2806.7952,2808.6221,False
#,8,A,10,2808.6221,2814.5745,False
BC,8,A,10,2814.5745,2814.962,False
#,8,A,10,2814.962,2822.0381,False
O,8,A,10,2822.0381,2835.8119,True
#,8,A,10,2835.8119,2843.8502,False
BC,8,A,10,2843.8502,2844.2552,False
#,8,A,10,2844.2552,2852.5239,False
S,8,A,10,2852.5239,2860.2932,False
#,8,A,10,2860.2932,2872.3876,False
S,8,A,10,2872.3876,2874.4635,False
#,8,A,10,2874.4635,2889.2308,False
BC,8,A,10,2889.2308,2889.6797,False
#,8,A,10,2889.6797,2893.0278,False
BC,8,A,10,2893.0278,2893.375,False
#,8,A,10,2893.375,2905.4308,False
O,8,A,10,2905.4308,2906.5301,True
#,8,A,10,2906.5301,2908.5944,False
BC,8,A,10,2908.5944,2908.8877,False
#,8,A,10,2908.8877,2913.257,False
S,8,A,10,2913.257,2915.4864,False
#,8,A,10,2915.4864,2915.9347,False
X3,8,A,10,2915.9347,2917.3498,False
#,8,A,10,2917.3498,2920.5821,False
BC,8,A,10,2920.5821,2921.0329,False
#,8,A,10,2921.0329,2927.0452,False
S,8,A,10,2927.0452,2928.0253,False
#,8,A,10,2928.0253,2934.0111,False
S,8,A,10,2934.0111,2943.9486,False
#,8,A,10,2943.9486,2945.2708,False
S,8,A,10,2945.2708,2945.6707,False
#,8,A,10,2945.6707,2954.6708,False
S,8,A,10,2954.6708,2975.2369,False
#,8,A,10,2975.2369,2977.1173,False
X2,8,A,10,2977.1173,2985.8304,False
#,8,A,10,2985.8304,2986.2019,False
X3,8,A,10,2986.2019,2986.6181,False
#,8,A,10,2986.6181,3000.6274,False
S,8,A,10,3000.6274,3000.9746,False
#,8,A,10,3000.9746,3004.3106,False
BC,8,A,10,3004.3106,3004.677,False
#,8,A,10,3004.677,3011.398,False
S,8,A,10,3011.398,3014.0017,False
#,8,A,10,3014.0017,3018.4235,False
S,8,A,10,3018.4235,3024.7435,False
#,8,A,10,3024.7435,3032.3367,False
BC,8,A,10,3032.3367,3033.184,False
#,8,A,10,3033.184,3044.6359,False
PI,8,A,10,3044.6359,3045.6855,False
#,8,A,10,3045.6855,3053.5173,False
BC,8,A,10,3053.5173,3054.015,False
#,8,A,10,3054.015,3059.2656,False
BC,8,A,10,3059.2656,3059.6451,False
#,8,A,10,3059.6451,3067.3567,False
BC,8,A,10,3067.3567,3067.8374,False
#,8,A,10,3067.8374,3070.5982,False
BC,8,A,10,3070.5982,3071.0689,False
#,8,A,10,3071.0689,3073.1173,False
PI,8,A,10,3073.1173,3073.3364,False
#,8,A,10,3073.3364,3074.3024,False
BC,8,A,10,3074.3024,3074.7267,False
#,8,A,10,3074.7267,3080.7749,False
S,8,A,10,3080.7749,3088.0724,False
#,8,A,10,3088.0724,3090.6662,False
I,8,A,10,3090.6662,3091.0107,True
#,8,A,10,3091.0107,3097.6884,False
S,8,A,10,3097.6884,3109.055,False
#,8,A,10,3109.055,3112.2258,False
S,8,A,10,3112.2258,3114.2234,False
#,8,A,10,3114.2234,3116.5729,False
S,8,A,10,3116.5729,3119.5183,False
X1,8,A,11,3128.9592,3135.153,False
#,8,A,11,3135.153,3136.5742,False
S,8,A,11,3136.5742,3138.6869,False
#,8,A,11,3138.6869,3142.0165,False
S,8,A,11,3142.0165,3146.0149,False
#,8,A,11,3146.0149,3148.8259,False
O,8,A,11,3148.8259,3153.8004,True
#,8,A,11,3153.8004,3154.5509,False
X2_O,8,A,11,3154.5509,3159.6442,False
#,8,A,11,3159.6442,3160.5518,False
S,8,A,11,3160.5518,3165.3689,False
