tt_label,session_number,speaker2,task,ipu2_start_time,ipu2_end_time,overlapped_transition
O,05,A,10,707.8032,709.1335,True
#,05,A,10,709.1335,709.7328,False
S,05,A,10,709.7328,710.4207,False
#,05,A,10,710.4207,710.9497,False
X3,05,A,10,710.9497,712.1505,False
#,05,A,10,712.1505,718.7513,False
BC,05,A,10,718.7513,719.2452,False
#,05,A,10,719.2452,724.6392,False
S,05,A,10,724.6392,725.2187,False
#,05,A,10,725.2187,725.5502,False
X3,05,A,10,725.5502,732.7043,False
#,05,A,10,732.7043,734.264,False
S,05,A,10,734.264,735.0367,False
S,05,A,11,764.4467,768.7536,False
#,05,A,11,768.7536,770.0357,False
S,05,A,11,770.0357,772.1299,False
#,05,A,11,772.1299,772.7774,False
X2,05,A,11,772.7774,774.2611,False
#,05,A,11,774.2611,774.8757,False
O,05,A,11,774.8757,777.8343,True
#,05,A,11,777.8343,779.4766,False
X2,05,A,11,779.4766,782.8374,False
#,05,A,11,782.8374,784.4274,False
X2,05,A,11,784.4274,785.3674,False
#,05,A,11,785.3674,786.8688,False
S,05,A,11,786.8688,788.6463,False
#,05,A,11,788.6463,789.1713,False
X2_O,05,A,11,789.1713,792.2681,False
#,05,A,11,792.2681,792.7674,False
O,05,A,11,792.7674,793.0568,True
#,05,A,11,793.0568,793.5174,False
A,05,A,11,793.5174,797.5521,False
#,05,A,11,797.5521,798.2918,False
O,05,A,11,798.2918,799.1545,True
BC,05,A,12,811.5942,812.1932,False
#,05,A,12,812.1932,817.3181,False
S,05,A,12,817.3181,817.9709,False
#,05,A,12,817.9709,818.0681,False
BI,05,A,12,818.0681,818.5281,True
#,05,A,12,818.5281,818.6181,False
I,05,A,12,818.6181,821.9278,True
#,05,A,12,821.9278,824.9169,False
BC,05,A,12,824.9169,825.2069,False
#,05,A,12,825.2069,826.0456,False
O,05,A,12,826.0456,829.0378,True
#,05,A,12,829.0378,829.2529,False
S,05,A,12,829.2529,829.4614,False
#,05,A,12,829.4614,830.2638,False
PI,05,A,12,830.2638,832.0318,False
#,05,A,12,832.0318,833.1458,False
O,05,A,12,833.1458,834.9045,True
#,05,A,12,834.9045,835.7836,False
O,05,A,12,835.7836,836.3598,True
#,05,A,12,836.3598,839.6968,False
S,05,A,12,839.6968,840.1787,False
#,05,A,12,840.1787,847.0243,False
BC_O,05,A,12,847.0243,847.4907,False
#,05,A,12,847.4907,849.0622,False
BC_O,05,A,12,849.0622,849.5001,False
#,05,A,12,849.5001,856.8509,False
S,05,A,12,856.8509,859.6748,False
#,05,A,12,859.6748,862.5093,False
PI,05,A,12,862.5093,863.6815,False
#,05,A,12,863.6815,864.211,False
O,05,A,12,864.211,866.6129,True
#,05,A,12,866.6129,870.6932,False
PI,05,A,12,870.6932,875.1215,False
#,05,A,12,875.1215,875.6022,False
A,05,A,12,875.6022,879.1727,False
#,05,A,12,879.1727,879.7022,False
X2,05,A,12,879.7022,885.6038,False
#,05,A,12,885.6038,887.2967,False
X2,05,A,12,887.2967,890.6909,False
#,05,A,12,890.6909,891.4396,False
X3,05,A,12,891.4396,894.3568,False
#,05,A,12,894.3568,901.2565,False
S,05,A,12,901.2565,904.6397,False
#,05,A,12,904.6397,904.8713,False
X3,05,A,12,904.8713,906.2148,False
#,05,A,12,906.2148,906.629,False
X3,05,A,12,906.629,908.3871,False
#,05,A,12,908.3871,910.579,False
S,05,A,12,910.579,917.0596,False
#,05,A,12,917.0596,921.5128,False
BC,05,A,12,921.5128,921.9339,False
#,05,A,12,921.9339,924.3704,False
BC,05,A,12,924.3704,924.762,False
#,05,A,12,924.762,932.1333,False
S,05,A,12,932.1333,934.406,False
#,05,A,12,934.406,935.4281,False
S,05,A,12,935.4281,936.5373,False
#,05,A,12,936.5373,936.9019,False
A,05,A,12,936.9019,944.0273,False
#,05,A,12,944.0273,944.4095,False
X3,05,A,12,944.4095,945.1802,False
#,05,A,12,945.1802,951.0433,False
S,05,A,12,951.0433,952.7312,False
#,05,A,12,952.7312,953.5325,False
A,05,A,12,953.5325,954.0918,False
O,05,A,13,970.2589,970.6744,True
#,05,A,13,970.6744,971.3732,False
O,05,A,13,971.3732,975.0281,True
#,05,A,13,975.0281,977.332,False
O,05,A,13,977.332,977.7264,True
#,05,A,13,977.7264,978.4273,False
S,05,A,13,978.4273,980.0831,False
#,05,A,13,980.0831,980.3531,False
X2,05,A,13,980.3531,983.0966,False
#,05,A,13,983.0966,983.6763,False
X3,05,A,13,983.6763,984.5937,False
#,05,A,13,984.5937,986.4842,False
X2,05,A,13,986.4842,988.2305,False
#,05,A,13,988.2305,988.8237,False
X3,05,A,13,988.8237,990.7557,False
#,05,A,13,990.7557,991.6337,False
X2,05,A,13,991.6337,995.0838,False
#,05,A,13,995.0838,995.8519,False
O,05,A,13,995.8519,999.5884,True
#,05,A,13,999.5884,1001.9725,False
O,05,A,13,1001.9725,1006.3458,True
#,05,A,13,1006.3458,1009.0042,False
O,05,A,13,1009.0042,1009.709,True
BC_O,05,A,14,1041.1588,1041.6568,False
#,05,A,14,1041.6568,1048.5868,False
BC,05,A,14,1048.5868,1048.9801,False
#,05,A,14,1048.9801,1053.1198,False
A,05,A,14,1053.1198,1053.9157,False
#,05,A,14,1053.9157,1054.2297,False
O,05,A,14,1054.2297,1054.5721,True
#,05,A,14,1054.5721,1064.2219,False
BC,05,A,14,1064.2219,1064.6642,False
#,05,A,14,1064.6642,1065.8463,False
BC,05,A,14,1065.8463,1066.2092,False
#,05,A,14,1066.2092,1075.7799,False
S,05,A,14,1075.7799,1079.1261,False
#,05,A,14,1079.1261,1079.9808,False
O,05,A,14,1079.9808,1081.4028,True
#,05,A,14,1081.4028,1084.018,False
O,05,A,14,1084.018,1085.1107,True
#,05,A,14,1085.1107,1092.1179,False
S,05,A,14,1092.1179,1093.8279,False
#,05,A,14,1093.8279,1095.1912,False
O,05,A,14,1095.1912,1095.5133,True
#,05,A,14,1095.5133,1097.5412,False
O,05,A,14,1097.5412,1103.9147,True
#,05,A,14,1103.9147,1106.8854,False
BC,05,A,14,1106.8854,1107.2995,False
#,05,A,14,1107.2995,1113.9091,False
S,05,A,14,1113.9091,1120.0,False
#,05,A,14,1120.0,1120.3391,False
O,05,A,14,1120.3391,1124.0696,True
#,05,A,14,1124.0696,1124.7604,False
O,05,A,14,1124.7604,1125.9345,True
#,05,A,14,1125.9345,1126.8691,False
X3,05,A,14,1126.8691,1129.0464,False
#,05,A,14,1129.0464,1133.9734,False
S,05,A,14,1133.9734,1136.5475,False
S,05,B,1,2.7597,3.4075,False
#,05,B,1,3.4075,4.1995,False
S,05,B,1,4.1995,4.6623,False
#,05,B,1,4.6623,5.2879,False
A,05,B,1,5.2879,5.9448,False
#,05,B,1,5.9448,10.4921,False
BC,05,B,1,10.4921,11.1232,False
#,05,B,1,11.1232,16.6101,False
BC,05,B,1,16.6101,17.3724,False
#,05,B,1,17.3724,23.5208,False
PI,05,B,1,23.5208,25.5574,False
#,05,B,1,25.5574,26.869,False
O,05,B,1,26.869,27.4608,True
#,05,B,1,27.4608,29.5428,False
BC,05,B,1,29.5428,29.9804,False
#,05,B,1,29.9804,41.9874,False
BC,05,B,1,41.9874,42.7796,False
#,05,B,1,42.7796,46.2327,False
O,05,B,1,46.2327,53.6953,True
X1,05,B,2,75.0907,80.3808,False
#,05,B,2,80.3808,81.6143,False
X2,05,B,2,81.6143,81.9571,False
#,05,B,2,81.9571,82.6204,False
S,05,B,2,82.6204,89.9362,False
#,05,B,2,89.9362,92.4277,False
O,05,B,2,92.4277,94.3083,True
BC,05,B,3,110.4571,110.7297,False
#,05,B,3,110.7297,120.2129,False
BC,05,B,3,120.2129,120.5321,False
#,05,B,3,120.5321,123.3949,False
O,05,B,3,123.3949,123.9849,True
#,05,B,3,123.9849,125.3587,False
BC_O,05,B,3,125.3587,125.4998,False
#,05,B,3,125.4998,125.6278,False
X3,05,B,3,125.6278,125.804,False
#,05,B,3,125.804,129.3548,False
BC,05,B,3,129.3548,129.8704,False
#,05,B,3,129.8704,133.6484,False
S,05,B,3,133.6484,134.8284,False
#,05,B,3,134.8284,137.2784,False
S,05,B,3,137.2784,143.3684,False
#,05,B,3,143.3684,146.3798,False
S,05,B,3,146.3798,151.1874,False
#,05,B,3,151.1874,153.7091,False
O,05,B,3,153.7091,154.1956,True
A,05,B,4,170.5802,170.7792,False
#,05,B,4,170.7792,170.9002,False
I,05,B,4,170.9002,171.3437,True
#,05,B,4,171.3437,173.9414,False
O,05,B,4,173.9414,174.1987,True
#,05,B,4,174.1987,174.2495,False
O,05,B,4,174.2495,175.5428,True
#,05,B,4,175.5428,176.7884,False
S,05,B,4,176.7884,179.9046,False
#,05,B,4,179.9046,180.4626,False
X2,05,B,4,180.4626,188.3795,False
#,05,B,4,188.3795,188.7692,False
O,05,B,4,188.7692,190.0784,True
#,05,B,4,190.0784,190.4687,False
S,05,B,4,190.4687,190.8825,False
#,05,B,4,190.8825,191.9541,False
O,05,B,4,191.9541,195.7867,True
#,05,B,4,195.7867,196.1708,False
O,05,B,4,196.1708,198.6254,True
#,05,B,4,198.6254,201.9327,False
BI,05,B,4,201.9327,202.3365,True
#,05,B,4,202.3365,203.4552,False
I,05,B,4,203.4552,215.7701,True
#,05,B,4,215.7701,218.6697,False
PI,05,B,4,218.6697,219.8093,False
#,05,B,4,219.8093,221.7268,False
BI,05,B,4,221.7268,221.9777,True
#,05,B,4,221.9777,224.9743,False
A,05,B,4,224.9743,225.7988,False
#,05,B,4,225.7988,226.4843,False
S,05,B,4,226.4843,227.037,False
#,05,B,4,227.037,228.6104,False
I,05,B,4,228.6104,234.7651,True
X1,05,B,5,243.8751,245.3146,False
#,05,B,5,245.3146,246.6947,False
S,05,B,5,246.6947,247.3252,False
#,05,B,5,247.3252,251.8442,False
S,05,B,5,251.8442,252.8479,False
#,05,B,5,252.8479,253.8667,False
BC,05,B,5,253.8667,254.1956,False
#,05,B,5,254.1956,260.3831,False
BC,05,B,5,260.3831,260.84,False
#,05,B,5,260.84,262.004,False
S,05,B,5,262.004,263.1716,False
#,05,B,5,263.1716,267.3684,False
A,05,B,5,267.3684,269.2821,False
#,05,B,5,269.2821,272.1199,False
BC,05,B,5,272.1199,272.6,False
#,05,B,5,272.6,275.5734,False
PI,05,B,5,275.5734,276.4534,False
#,05,B,5,276.4534,278.0644,False
O,05,B,5,278.0644,278.3238,True
#,05,B,5,278.3238,286.8311,False
O,05,B,5,286.8311,287.8269,True
#,05,B,5,287.8269,289.7778,False
O,05,B,5,289.7778,292.8535,True
#,05,B,5,292.8535,294.0729,False
BC,05,B,5,294.0729,294.378,False
#,05,B,5,294.378,296.4374,False
PI,05,B,5,296.4374,299.1438,False
#,05,B,5,299.1438,302.448,False
BC,05,B,5,302.448,302.7483,False
#,05,B,5,302.7483,307.9999,False
O,05,B,5,307.9999,308.8625,True
#,05,B,5,308.8625,309.3626,False
BC,05,B,5,309.3626,309.8343,False
#,05,B,5,309.8343,314.1621,False
BC,05,B,5,314.1621,314.5864,False
#,05,B,5,314.5864,318.7496,False
PI,05,B,5,318.7496,319.4938,False
#,05,B,5,319.4938,320.257,False
BC_O,05,B,5,320.257,320.7058,False
#,05,B,5,320.7058,324.7333,False
S,05,B,5,324.7333,328.4911,False
#,05,B,5,328.4911,330.5316,False
I,05,B,5,330.5316,331.9663,True
#,05,B,5,331.9663,332.8967,False
S,05,B,5,332.8967,356.8509,False
X1,05,B,6,379.4653,382.5205,False
#,05,B,6,382.5205,383.5153,False
X2,05,B,6,383.5153,396.2795,False
#,05,B,6,396.2795,397.5434,False
S,05,B,6,397.5434,400.1234,False
#,05,B,6,400.1234,400.5463,False
X3,05,B,6,400.5463,406.6971,False
#,05,B,6,406.6971,411.2644,False
BI,05,B,6,411.2644,411.9434,True
#,05,B,6,411.9434,412.1278,False
A,05,B,6,412.1278,412.6547,False
#,05,B,6,412.6547,412.9356,False
O,05,B,6,412.9356,414.0157,True
#,05,B,6,414.0157,415.7893,False
PI,05,B,6,415.7893,417.282,False
#,05,B,6,417.282,417.9186,False
O,05,B,6,417.9186,421.553,True
#,05,B,6,421.553,421.84,False
X3,05,B,6,421.84,423.269,False
BC,05,B,7,439.6504,440.1837,False
#,05,B,7,440.1837,440.9642,False
BC,05,B,7,440.9642,441.5267,False
#,05,B,7,441.5267,445.0004,False
BC,05,B,7,445.0004,445.5894,False
#,05,B,7,445.5894,452.3277,False
S,05,B,7,452.3277,453.4159,False
#,05,B,7,453.4159,458.7241,False
BC,05,B,7,458.7241,459.3201,False
#,05,B,7,459.3201,464.2869,False
S,05,B,7,464.2869,466.5675,False
#,05,B,7,466.5675,469.4288,False
O,05,B,7,469.4288,469.9183,True
#,05,B,7,469.9183,471.5381,False
PI,05,B,7,471.5381,472.1198,False
#,05,B,7,472.1198,472.6774,False
S,05,B,7,472.6774,473.7025,False
X1,05,B,8,482.9884,487.7787,False
#,05,B,8,487.7787,489.5438,False
X2,05,B,8,489.5438,495.9118,False
#,05,B,8,495.9118,496.6593,False
O,05,B,8,496.6593,497.0584,True
#,05,B,8,497.0584,502.6881,False
S,05,B,8,502.6881,505.085,False
#,05,B,8,505.085,505.5953,False
X3,05,B,8,505.5953,505.9429,False
#,05,B,8,505.9429,506.0417,False
O,05,B,8,506.0417,507.4049,True
#,05,B,8,507.4049,507.6474,False
X3,05,B,8,507.6474,515.6637,False
#,05,B,8,515.6637,515.7794,False
O,05,B,8,515.7794,517.3944,True
#,05,B,8,517.3944,518.4552,False
X2,05,B,8,518.4552,523.1974,False
#,05,B,8,523.1974,523.6684,False
O,05,B,8,523.6684,524.6807,True
#,05,B,8,524.6807,527.6788,False
I,05,B,8,527.6788,528.4419,True
#,05,B,8,528.4419,530.1793,False
S,05,B,8,530.1793,531.9659,False
#,05,B,8,531.9659,533.3797,False
BI,05,B,8,533.3797,534.0622,True
#,05,B,8,534.0622,534.2761,False
S,05,B,8,534.2761,540.5398,False
#,05,B,8,540.5398,541.8594,False
S,05,B,8,541.8594,543.8709,False
#,05,B,8,543.8709,544.3284,False
X3,05,B,8,544.3284,544.9284,False
X1,05,B,9,554.5821,560.3865,False
#,05,B,9,560.3865,560.8705,False
O,05,B,9,560.8705,562.2625,True
#,05,B,9,562.2625,563.9923,False
S,05,B,9,563.9923,567.4114,False
#,05,B,9,567.4114,574.6773,False
BC,05,B,9,574.6773,575.2173,False
#,05,B,9,575.2173,578.2338,False
BC,05,B,9,578.2338,578.6651,False
#,05,B,9,578.6651,584.029,False
S,05,B,9,584.029,585.1979,False
#,05,B,9,585.1979,591.4601,False
BC,05,B,9,591.4601,591.9984,False
#,05,B,9,591.9984,595.2281,False
BC_O,05,B,9,595.2281,595.5879,False
#,05,B,9,595.5879,600.7078,False
S,05,B,9,600.7078,601.2478,False
#,05,B,9,601.2478,606.7799,False
PI,05,B,9,606.7799,607.9686,False
#,05,B,9,607.9686,608.8912,False
PI,05,B,9,608.8912,609.086,False
#,05,B,9,609.086,613.2852,False
S,05,B,9,613.2852,615.4,False
#,05,B,9,615.4,626.2451,False
BC,05,B,9,626.2451,626.971,False
#,05,B,9,626.971,627.1759,False
X3,05,B,9,627.1759,628.0841,False
#,05,B,9,628.0841,640.8476,False
BC,05,B,9,640.8476,641.3273,False
#,05,B,9,641.3273,642.3801,False
O,05,B,9,642.3801,648.9502,True
#,05,B,9,648.9502,654.7948,False
O,05,B,9,654.7948,658.3638,True
#,05,B,9,658.3638,662.9239,False
BC,05,B,9,662.9239,663.2517,False
#,05,B,9,663.2517,666.501,False
S,05,B,9,666.501,667.441,False
#,05,B,9,667.441,671.2601,False
O,05,B,9,671.2601,679.7629,True
A,05,B,10,694.2898,694.5267,False
#,05,B,10,694.5267,695.2598,False
PI,05,B,10,695.2598,699.6285,False
#,05,B,10,699.6285,701.7948,False
A,05,B,10,701.7948,702.6424,False
#,05,B,10,702.6424,703.7724,False
S,05,B,10,703.7724,706.7784,False
#,05,B,10,706.7784,706.9432,False
X3,05,B,10,706.9432,707.8855,False
#,05,B,10,707.8855,708.8454,False
O,05,B,10,708.8454,709.6918,True
#,05,B,10,709.6918,711.0016,False
PI,05,B,10,711.0016,711.6924,False
#,05,B,10,711.6924,712.7324,False
S,05,B,10,712.7324,717.8724,False
#,05,B,10,717.8724,719.2724,False
X2,05,B,10,719.2724,724.2671,False
#,05,B,10,724.2671,725.6933,False
S,05,B,10,725.6933,726.3125,False
#,05,B,10,726.3125,730.7857,False
BI,05,B,10,730.7857,731.1574,True
#,05,B,10,731.1574,732.7832,False
PI,05,B,10,732.7832,734.2234,False
#,05,B,10,734.2234,734.8224,False
O,05,B,10,734.8224,735.5463,True
X1,05,B,11,761.9255,763.9022,False
#,05,B,11,763.9022,768.0077,False
O,05,B,11,768.0077,769.2877,True
#,05,B,11,769.2877,772.3768,False
BC,05,B,11,772.3768,772.6613,False
#,05,B,11,772.6613,774.5807,False
S,05,B,11,774.5807,775.8718,False
#,05,B,11,775.8718,778.3903,False
BC,05,B,11,778.3903,778.888,False
#,05,B,11,778.888,782.8136,False
BC_O,05,B,11,782.8136,783.273,False
#,05,B,11,783.273,784.4922,False
X3,05,B,11,784.4922,784.7719,False
#,05,B,11,784.7719,785.7896,False
PI,05,B,11,785.7896,786.8203,False
#,05,B,11,786.8203,788.8393,False
BC,05,B,11,788.8393,789.2491,False
#,05,B,11,789.2491,792.1475,False
O,05,B,11,792.1475,793.0627,True
#,05,B,11,793.0627,793.507,False
A,05,B,11,793.507,793.9559,False
#,05,B,11,793.9559,797.6744,False
PI,05,B,11,797.6744,798.4489,False
#,05,B,11,798.4489,799.7121,False
S,05,B,11,799.7121,800.3954,False
X1,05,B,12,806.3253,810.2963,False
#,05,B,12,810.2963,812.2602,False
X2,05,B,12,812.2602,815.6701,False
#,05,B,12,815.6701,817.6418,False
I,05,B,12,817.6418,818.7666,True
#,05,B,12,818.7666,822.0541,False
S,05,B,12,822.0541,824.5255,False
#,05,B,12,824.5255,824.9673,False
X3,05,B,12,824.9673,826.484,False
#,05,B,12,826.484,828.6119,False
I,05,B,12,828.6119,829.0609,True
#,05,B,12,829.0609,829.238,False
X3,05,B,12,829.238,830.1189,False
#,05,B,12,830.1189,832.2439,False
S,05,B,12,832.2439,833.5254,False
#,05,B,12,833.5254,834.5037,False
O,05,B,12,834.5037,835.9925,True
#,05,B,12,835.9925,836.8772,False
S,05,B,12,836.8772,839.5751,False
#,05,B,12,839.5751,840.5726,False
S,05,B,12,840.5726,847.3501,False
#,05,B,12,847.3501,847.7909,False
X2,05,B,12,847.7909,849.3501,False
#,05,B,12,849.3501,850.2201,False
X2,05,B,12,850.2201,854.5764,False
#,05,B,12,854.5764,859.787,False
S,05,B,12,859.787,862.5078,False
#,05,B,12,862.5078,863.6765,False
O,05,B,12,863.6765,864.2649,True
#,05,B,12,864.2649,866.1329,False
BI,05,B,12,866.1329,866.6119,True
#,05,B,12,866.6119,866.8222,False
S,05,B,12,866.8222,870.1805,False
#,05,B,12,870.1805,870.6407,False
X3,05,B,12,870.6407,871.4232,False
#,05,B,12,871.4232,874.9959,False
A,05,B,12,874.9959,875.546,False
#,05,B,12,875.546,879.2067,False
BC,05,B,12,879.2067,879.5644,False
#,05,B,12,879.5644,886.3991,False
BC,05,B,12,886.3991,886.8765,False
#,05,B,12,886.8765,891.4734,False
A,05,B,12,891.4734,891.8661,False
#,05,B,12,891.8661,895.5047,False
S,05,B,12,895.5047,900.4588,False
#,05,B,12,900.4588,904.7288,False
BC,05,B,12,904.7288,905.1899,False
#,05,B,12,905.1899,906.6679,False
BC,05,B,12,906.6679,907.0571,False
#,05,B,12,907.0571,908.253,False
O,05,B,12,908.253,909.7734,True
#,05,B,12,909.7734,910.5661,False
X3,05,B,12,910.5661,910.9694,False
#,05,B,12,910.9694,918.0532,False
S,05,B,12,918.0532,921.181,False
#,05,B,12,921.181,922.4811,False
X2,05,B,12,922.4811,924.2966,False
#,05,B,12,924.2966,925.134,False
X2,05,B,12,925.134,931.4799,False
#,05,B,12,931.4799,934.0515,False
O,05,B,12,934.0515,935.2119,True
#,05,B,12,935.2119,936.0014,False
A,05,B,12,936.0014,936.5993,False
#,05,B,12,936.5993,944.3922,False
S,05,B,12,944.3922,951.0193,False
#,05,B,12,951.0193,951.8664,False
O,05,B,12,951.8664,954.4523,True
X1,05,B,13,968.9834,971.7318,False
#,05,B,13,971.7318,975.0099,False
O,05,B,13,975.0099,977.7734,True
#,05,B,13,977.7734,979.8155,False
BC_O,05,B,13,979.8155,980.2362,False
#,05,B,13,980.2362,983.5203,False
BC,05,B,13,983.5203,984.2356,False
#,05,B,13,984.2356,985.1577,False
BC,05,B,13,985.1577,985.6477,False
#,05,B,13,985.6477,988.9034,False
BC,05,B,13,988.9034,989.5836,False
#,05,B,13,989.5836,990.8942,False
BC,05,B,13,990.8942,991.3571,False
#,05,B,13,991.3571,995.3402,False
A,05,B,13,995.3402,996.5802,False
#,05,B,13,996.5802,1000.2319,False
S,05,B,13,1000.2319,1002.0843,False
#,05,B,13,1002.0843,1006.2983,False
O,05,B,13,1006.2983,1009.5275,True
#,05,B,13,1009.5275,1011.7408,False
S,05,B,13,1011.7408,1013.5325,False
X1,05,B,14,1037.5489,1047.6065,False
#,05,B,14,1047.6065,1049.9161,False
X2,05,B,14,1049.9161,1053.3513,False
#,05,B,14,1053.3513,1053.9656,False
S,05,B,14,1053.9656,1063.541,False
#,05,B,14,1063.541,1064.2099,False
X3,05,B,14,1064.2099,1065.1403,False
#,05,B,14,1065.1403,1066.5851,False
X2,05,B,14,1066.5851,1074.0013,False
#,05,B,14,1074.0013,1079.4817,False
S,05,B,14,1079.4817,1080.4781,False
#,05,B,14,1080.4781,1081.5636,False
S,05,B,14,1081.5636,1084.131,False
#,05,B,14,1084.131,1084.8712,False
O,05,B,14,1084.8712,1090.6599,True
#,05,B,14,1090.6599,1093.9853,False
S,05,B,14,1093.9853,1099.3681,False
#,05,B,14,1099.3681,1103.8027,False
O,05,B,14,1103.8027,1106.3687,True
#,05,B,14,1106.3687,1106.9472,False
X3,05,B,14,1106.9472,1107.2663,False
#,05,B,14,1107.2663,1107.7362,False
X2,05,B,14,1107.7362,1113.055,False
#,05,B,14,1113.055,1114.4313,False
BI,05,B,14,1114.4313,1115.231,True
#,05,B,14,1115.231,1119.7992,False
I,05,B,14,1119.7992,1120.5411,True
#,05,B,14,1120.5411,1124.0438,False
I,05,B,14,1124.0438,1125.2918,True
#,05,B,14,1125.2918,1126.9491,False
S,05,B,14,1126.9491,1127.1787,False
#,05,B,14,1127.1787,1129.0537,False
S,05,B,14,1129.0537,1133.6094,False
X1,06,A,1,1.3157,7.3882,False
#,06,A,1,7.3882,10.3377,False
X2,06,A,1,10.3377,14.9844,False
#,06,A,1,14.9844,16.4719,False
X2,06,A,1,16.4719,27.2773,False
#,06,A,1,27.2773,28.7273,False
X2,06,A,1,28.7273,38.3374,False
#,06,A,1,38.3374,52.2648,False
A,06,A,1,52.2648,61.5123,False
BC,06,A,2,86.9406,87.4543,False
#,06,A,2,87.4543,94.7278,False
BC,06,A,2,94.7278,95.1573,False
#,06,A,2,95.1573,102.6534,False
BC,06,A,2,102.6534,103.0461,False
#,06,A,2,103.0461,119.622,False
S,06,A,2,119.622,127.7153,False
#,06,A,2,127.7153,132.3229,False
S,06,A,2,132.3229,134.6001,False
#,06,A,2,134.6001,139.7428,False
A,06,A,2,139.7428,139.9725,False
#,06,A,2,139.9725,140.0462,False
X3,06,A,2,140.0462,140.637,False
#,06,A,2,140.637,140.7211,False
X3,06,A,2,140.7211,143.1136,False
#,06,A,2,143.1136,143.9899,False
S,06,A,2,143.9899,144.4985,False
#,06,A,2,144.4985,157.7315,False
S,06,A,2,157.7315,161.4267,False
#,06,A,2,161.4267,163.2471,False
S,06,A,2,163.2471,168.6519,False
#,06,A,2,168.6519,179.6664,False
I,06,A,2,179.6664,180.9186,True
#,06,A,2,180.9186,188.2671,False
S,06,A,2,188.2671,189.6571,False
X1,06,A,3,205.5811,210.3018,False
#,06,A,3,210.3018,212.814,False
X2,06,A,3,212.814,223.4266,False
#,06,A,3,223.4266,224.6145,False
X2,06,A,3,224.6145,237.543,False
#,06,A,3,237.543,242.3419,False
X2,06,A,3,242.3419,251.7296,False
#,06,A,3,251.7296,267.1321,False
X2,06,A,3,267.1321,267.6585,False
#,06,A,3,267.6585,276.3599,False
PI,06,A,3,276.3599,287.5707,False
#,06,A,3,287.5707,289.07,False
S,06,A,3,289.07,290.2441,False
#,06,A,3,290.2441,290.5141,False
X3,06,A,3,290.5141,291.3054,False
BC,06,A,4,311.7007,312.0724,False
#,06,A,4,312.0724,322.2501,False
S,06,A,4,322.2501,323.1741,False
#,06,A,4,323.1741,325.3607,False
S,06,A,4,325.3607,327.5617,False
#,06,A,4,327.5617,335.8947,False
S,06,A,4,335.8947,337.1385,False
#,06,A,4,337.1385,342.2049,False
S,06,A,4,342.2049,344.8449,False
#,06,A,4,344.8449,345.9389,False
X3,06,A,4,345.9389,346.3176,False
#,06,A,4,346.3176,346.7549,False
O,06,A,4,346.7549,348.3049,True
#,06,A,4,348.3049,348.7649,False
A,06,A,4,348.7649,349.4249,False
#,06,A,4,349.4249,349.4903,False
O,06,A,4,349.4903,351.1749,True
#,06,A,4,351.1749,351.3399,False
X3,06,A,4,351.3399,352.7156,False
#,06,A,4,352.7156,353.8997,False
S,06,A,4,353.8997,359.025,False
#,06,A,4,359.025,373.0809,False
PI,06,A,4,373.0809,380.9146,False
#,06,A,4,380.9146,386.4615,False
S,06,A,4,386.4615,387.3115,False
#,06,A,4,387.3115,389.3311,False
PI,06,A,4,389.3311,390.51,False
#,06,A,4,390.51,399.4421,False
S,06,A,4,399.4421,401.3129,False
#,06,A,4,401.3129,404.0328,False
I,06,A,4,404.0328,404.8813,True
#,06,A,4,404.8813,410.7197,False
S,06,A,4,410.7197,413.8481,False
#,06,A,4,413.8481,416.8375,False
O,06,A,4,416.8375,417.1311,True
#,06,A,4,417.1311,425.7001,False
S,06,A,4,425.7001,426.2752,False
#,06,A,4,426.2752,426.73,False
X3,06,A,4,426.73,428.6466,False
#,06,A,4,428.6466,432.0714,False
I,06,A,4,432.0714,434.3506,True
#,06,A,4,434.3506,437.2522,False
S,06,A,4,437.2522,439.0613,False
#,06,A,4,439.0613,441.5691,False
PI,06,A,4,441.5691,443.5748,False
#,06,A,4,443.5748,457.0934,False
BC,06,A,4,457.0934,457.6264,False
#,06,A,4,457.6264,465.9625,False
O,06,A,4,465.9625,468.0197,True
X1,06,A,5,479.1039,479.9162,False
#,06,A,5,479.9162,481.5939,False
X2,06,A,5,481.5939,499.8505,False
#,06,A,5,499.8505,506.6552,False
S,06,A,5,506.6552,520.5193,False
#,06,A,5,520.5193,521.4465,False
S,06,A,5,521.4465,526.4274,False
#,06,A,5,526.4274,528.4269,False
X2,06,A,5,528.4269,531.3192,False
#,06,A,5,531.3192,532.8226,False
I,06,A,5,532.8226,538.0614,True
#,06,A,5,538.0614,542.5255,False
S,06,A,5,542.5255,543.9083,False
#,06,A,5,543.9083,545.1546,False
X2,06,A,5,545.1546,550.0146,False
#,06,A,5,550.0146,570.2099,False
S,06,A,5,570.2099,571.214,False
#,06,A,5,571.214,572.5467,False
X2,06,A,5,572.5467,575.3383,False
#,06,A,5,575.3383,578.1775,False
PI,06,A,5,578.1775,579.8161,False
#,06,A,5,579.8161,579.8845,False
S,06,A,5,579.8845,581.4374,False
#,06,A,5,581.4374,585.5317,False
O,06,A,5,585.5317,586.21,True
#,06,A,5,586.21,591.0753,False
S,06,A,5,591.0753,592.392,False
S,06,A,6,627.5272,628.584,False
#,06,A,6,628.584,645.6616,False
S,06,A,6,645.6616,646.5916,False
#,06,A,6,646.5916,647.6445,False
